DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1465.1,102.233,79.9847,5.4605,3.5735,0.133572,0.22002,2.3065,0.9602,0.409865,0.576
1465.2,103.067,79.5999,6.018,3.87,0.100623,0.19278,2.3583,1.0,0.409929,0.614
1465.3,106.815,79.5446,7.012,4.465,0.073949,0.172535,2.3926,0.9991,0.421695,0.6569
1465.4,109.176,82.1074,7.2695,4.6855,0.031992,0.139366,2.4013,1.0,0.439079,0.7154
1465.5,111.537,84.5395,7.527,4.906,0.0164,0.12962,2.3873,0.9464,0.454443,0.7544
1465.6,115.789,85.4181,7.519,5.137,0.016211,0.129526,2.3584,0.9464,0.463888,0.755
1465.7,117.2125,86.1682,7.3625,5.162,0.026852,0.135835,2.3084,0.9857,0.464963,0.7261
1465.8,118.636,87.2715,7.206,5.187,0.032931,0.140033,2.2829,1.0,0.459108,0.7136
1465.9,120.05,88.5227,6.848,5.141,0.0276,0.136334,2.2779,1.0,0.455982,0.7245
1466.0,120.356,87.6922,6.7005,5.1025,0.032039,0.139399,2.2679,1.0,0.464928,0.7153
1466.1,120.662,86.3919,6.553,5.064,0.032641,0.139826,2.2617,1.0,0.48229,0.7142
1466.2,121.121,85.7578,6.295,4.979,0.030321,0.138194,2.2597,1.0,0.49376,0.7187
1466.3,121.3685,85.3084,6.1845,4.943,0.03191,0.139308,2.2609,1.0,0.495306,0.7156
1466.4,121.616,84.982,6.074,4.907,0.030353,0.138216,2.2652,1.0,0.498355,0.7187
1466.5,121.909,84.7389,5.92,4.871,0.023507,0.133673,2.2651,1.0,0.512505,0.734
1466.6,121.8075,83.7165,5.8685,4.867,0.019994,0.131558,2.2564,1.0,0.534997,0.7433
1466.7,121.706,81.1788,5.817,4.863,0.024973,0.134604,2.2501,1.0,0.552149,0.7305
1466.8,121.153,77.8858,5.738,4.865,0.04547,0.149409,2.2458,1.0,0.552535,0.6925
1466.9,121.028,76.9376,5.7,4.861,0.063503,0.16386,2.2498,1.0,0.538972,0.6687
1467.0,120.903,77.7359,5.662,4.857,0.063174,0.163589,2.262,1.0,0.525799,0.669
1467.1,121.2315,79.0152,5.6165,4.8375,0.053264,0.155552,2.2631,1.0,0.524725,0.6815
1467.2,121.56,79.1825,5.571,4.818,0.049292,0.152398,2.2571,1.0,0.531263,0.687
1467.3,123.058,78.4676,5.47,4.75,0.065944,0.165871,2.2304,1.0,0.537286,0.6658
1467.4,123.8125,80.4376,5.4305,4.7135,0.04905,0.152208,2.2099,1.0,0.550514,0.6873
1467.5,124.567,83.155,5.391,4.677,0.015118,0.129002,2.2067,1.0,0.582802,0.7588
1467.6,125.388,85.2896,5.387,4.657,0.0001,0.1245,2.2063,1.0,0.615337,0.8289
1467.7,125.5975,83.1536,5.4455,4.702,0.0001,0.11965,2.2053,1.0,0.612323,0.7965
1467.8,125.807,82.2165,5.504,4.747,0.02187,0.132664,2.207,1.0,0.575567,0.7382
1467.9,126.538,83.6815,5.744,4.953,0.031573,0.13907,2.2146,1.0,0.540571,0.7162
1468.0,126.9365,83.4393,5.917,5.103,0.038099,0.143804,2.2259,1.0,0.526793,0.7043
1468.1,127.335,82.5619,6.09,5.253,0.040195,0.145373,2.2458,1.0,0.51996,0.7008
1468.2,126.629,81.9775,6.465,5.579,0.032922,0.140026,2.2865,1.0,0.509867,0.7136
1468.3,124.844,81.0452,6.5905,5.693,0.023198,0.13348,2.3349,1.0,0.504158,0.7348
1468.4,123.059,80.5572,6.716,5.807,0.0001,0.119582,2.427,1.0,0.503127,0.7961
1468.5,117.287,80.4711,6.794,5.889,0.0001,0.119439,2.5378,1.0,0.500325,0.7951
1468.6,114.6815,81.7048,6.7685,5.876,0.0001,0.121529,2.5666,1.0,0.491399,0.8091
1468.7,112.076,83.1446,6.743,5.863,0.0001,0.124107,2.5563,1.0,0.477197,0.8262
1468.8,110.178,84.2177,6.556,5.72,0.0001,0.126135,2.5396,1.0,0.46533,0.8397
