DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1345.53962,118.6615,105.4718,29.3583,23.0125,0.267539,0.317638,2.107,0.3099,0.360058,0.1592
1345.69202,120.1088,104.8911,27.3302,21.4022,0.289496,0.32429,2.091,0.3421,0.352482,0.1106
1345.84442,121.3872,101.5256,25.9947,20.3118,0.304907,0.334785,2.07,0.3507,0.360049,0.095
1345.99682,122.1919,107.6639,24.8642,19.4971,0.309122,0.344475,2.053,0.3416,0.377077,0.1124
1346.14922,122.3999,107.6379,23.1515,18.3826,0.293733,0.346907,2.054,0.325,0.397009,0.169
1346.30162,122.0861,97.1555,20.4486,16.5734,0.282509,0.349891,2.054,0.3246,0.413401,0.2142
1346.45402,121.4189,95.9756,17.1446,14.2947,0.269059,0.347192,2.065,0.3439,0.418871,0.2484
1346.60642,120.5103,92.703,14.1439,12.1476,0.267415,0.343406,2.075,0.3893,0.410099,0.2415
1346.75882,119.4459,87.7518,12.0809,10.6129,0.269872,0.339554,2.084,0.4403,0.397145,0.2215
1346.91122,118.4164,84.6261,11.1064,9.8923,0.257875,0.333286,2.099,0.4562,0.394304,0.2397
1347.06362,117.585,84.559,10.988,9.887,0.233641,0.324255,2.12,0.439,0.398604,0.288
1347.21602,116.9543,83.8683,11.4868,10.3818,0.223967,0.321079,2.127,0.42,0.401691,0.3087
1347.36842,116.499,85.3359,12.4349,11.182,0.224752,0.320811,2.126,0.4038,0.401104,0.3053
1347.52082,116.2971,85.2956,13.5393,12.0242,0.227682,0.319559,2.126,0.3928,0.396279,0.292
1347.67322,116.614,83.9042,14.3819,12.5429,0.227772,0.314797,2.133,0.3916,0.38627,0.2766
1347.82562,117.7465,80.8669,15.0763,12.7671,0.22157,0.305181,2.15,0.3955,0.371623,0.2658
1347.97802,119.5917,80.661,16.3288,13.2679,0.270926,0.323938,2.105,0.4167,0.364672,0.1685
1348.13042,121.5653,81.6962,18.3404,14.2712,0.322188,0.350355,2.046,0.4124,0.373203,0.0895
1348.28282,122.9647,82.4968,20.4925,15.4707,0.336134,0.36265,2.019,0.3791,0.388309,0.0843
1348.43522,123.4159,76.7089,21.7839,16.33,0.336244,0.367033,2.01,0.3555,0.398916,0.0979
1348.58762,123.0131,76.0032,21.2832,16.185,0.327943,0.363789,2.018,0.3546,0.39971,0.1139
1348.74002,122.2,78.7111,18.9858,14.8069,0.321743,0.359015,2.03,0.3795,0.393789,0.1185
1348.89242,121.4843,80.2664,15.9941,12.7997,0.313875,0.35292,2.046,0.42,0.385754,0.1241
1349.04482,121.211,81.192,13.497,11.043,0.296408,0.344459,2.068,0.4515,0.382274,0.1527
1349.19722,121.4739,79.6117,11.9297,9.9825,0.283446,0.343348,2.075,0.4591,0.391537,0.1904
1349.34962,122.023,77.8471,11.158,9.509,0.287289,0.351745,2.061,0.4583,0.405613,0.2049
1349.50202,122.429,80.9215,10.6608,9.1688,0.285902,0.353041,2.06,0.4633,0.409341,0.2134
1349.65442,122.478,85.7944,10.0501,8.6651,0.298713,0.35657,2.053,0.4948,0.403042,0.1839
1349.80682,122.4361,85.4128,9.4159,8.1219,0.253011,0.36147,2.051,0.5303,0.405271,0.351
